Fruit,Form,Region
"Apples, applesauce",Canned,West Coast
"Apples, ready-to-drink",Juice,West Coast
"Apples, Frozen, concentrate",Juice,West Coast
"Apricots, packed in Juice,",Canned,West Coast
"Apricots, packed in syrup or water",Canned,West Coast
Apricots,Dried,West Coast
"Berries, mixed",Frozen,Various
Blackberries,Frozen,West Coast
Blueberries,Frozen,East Coast
"Cherries, packed in syrup or water",Canned,Midwest
Cranberries,Dried,Midwest
Dates,Dried,West Coast
Figs,Dried,West Coast
"Fruit cocktail, packed in Juice,",Canned,Various
"Fruit cocktail, packed in syrup or water",Canned,Various
"Grapefruit, ready-to-drink",Juice,South
Grapes (raisins),Dried,West Coast
"Grapes, ready-to-drink",Juice,West Coast
"Grapes, Frozen, concentrate",Juice,West Coast
Mangoes,Dried,Hawaii
"Oranges, ready-to-drink",Juice,South
"Oranges, Frozen, concentrate",Juice,South
Papaya,Dried,Hawaii
"Peaches, packed in Juice,",Canned,South
"Peaches, packed in syrup or water",Canned,South
Peaches,Frozen,South
"Pears, packed in Juice,",Canned,West Coast
"Pears, packed in syrup or water",Canned,West Coast
"Pineapple, packed in Juice,",Canned,Hawaii
"Pineapple, packed in syrup or water",Canned,Hawaii
Pineapple,Dried,Hawaii
"Pineapple, ready-to-drink",Juice,Hawaii
"Pineapple, Frozen, concentrate",Juice,Hawaii
"Plum (prunes)",Dried,Midwest
"Plum (prune), ready-to-drink",Juice,Midwest
"Pomegranate, ready-to-drink",Juice,West Coast
Raspberries,Frozen,West Coast
Strawberries,Frozen,South